ng,tm,category,doi,archive_path,tm_ng_bond_changes
Ar,V,not_converged,10.1021/acs.jpca.9b04962,10.1021/acs.jpca.9b04962/jp9b04962_si_001/63_-1_1.tar.zst,
Ar,V,not_converged,10.1021/acs.jpca.9b04962,10.1021/acs.jpca.9b04962/jp9b04962_si_001/66_-1_1.tar.zst,
Ar,V,not_converged,10.1021/acs.jpca.9b04962,10.1021/acs.jpca.9b04962/jp9b04962_si_001/67_-1_1.tar.zst,
Ar,V,not_converged,10.1021/acs.jpca.9b04962,10.1021/acs.jpca.9b04962/jp9b04962_si_001/68_-1_1.tar.zst,
Ar,V,not_converged,10.1021/acs.jpca.9b04962,10.1021/acs.jpca.9b04962/jp9b04962_si_001/69_-1_1.tar.zst,
Ar,V,not_converged,10.1021/acs.jpca.9b04962,10.1021/acs.jpca.9b04962/jp9b04962_si_001/70_-1_1.tar.zst,
Ar,V,not_converged,10.1021/acs.jpca.9b04962,10.1021/acs.jpca.9b04962/jp9b04962_si_001/71_-1_1.tar.zst,
Ar,V,not_converged,10.1021/acs.jpca.9b04962,10.1021/acs.jpca.9b04962/jp9b04962_si_001/72_-1_1.tar.zst,
Ar,Zn,not_converged,10.1021/acs.jpca.0c03358,10.1021/acs.jpca.0c03358/jp0c03358_si_001/03_-1_2.tar.zst,
Ar,Zn,not_converged,10.1021/acs.jpca.0c03358,10.1021/acs.jpca.0c03358/jp0c03358_si_001/07_-1_2.tar.zst,
Ar,Zn,not_converged,10.1021/acs.jpca.0c03358,10.1021/acs.jpca.0c03358/jp0c03358_si_001/10_-1_2.tar.zst,
Ar,Zn,not_converged,10.1021/acs.jpca.0c03358,10.1021/acs.jpca.0c03358/jp0c03358_si_001/11_-1_2.tar.zst,
Ar,Zn,not_converged,10.1021/acs.jpca.0c03358,10.1021/acs.jpca.0c03358/jp0c03358_si_001/15_-1_2.tar.zst,
Ar,Zn,not_converged,10.1021/acs.jpca.0c03358,10.1021/acs.jpca.0c03358/jp0c03358_si_001/16_-1_2.tar.zst,
Ar,Zn,not_converged,10.1021/acs.jpca.0c03358,10.1021/acs.jpca.0c03358/jp0c03358_si_001/17_-1_2.tar.zst,
Ar,Zn,not_converged,10.1021/acs.jpca.0c03358,10.1021/acs.jpca.0c03358/jp0c03358_si_001/18_-1_2.tar.zst,
Ar,Zr,not_converged,10.1021/acs.jpca.0c07027,10.1021/acs.jpca.0c07027/jp0c07027_si_001/04_0_1.tar.zst,
Ar,Zr,not_converged,10.1021/acs.jpca.0c07027,10.1021/acs.jpca.0c07027/jp0c07027_si_001/07_1_2.tar.zst,
Ar,Zr,not_converged,10.1021/acs.jpca.0c07027,10.1021/acs.jpca.0c07027/jp0c07027_si_001/09_0_1.tar.zst,
Ar,Zr,not_converged,10.1021/acs.jpca.0c07027,10.1021/acs.jpca.0c07027/jp0c07027_si_001/11_0_1.tar.zst,
Xe,Mn,TM_NG_coexist_no_bond,10.1039/C9FD00067D,10.1039/C9FD00067D/c9fd00067d1/12_-1_2.tar.zst,
