element,archive_path,count
He,10.1021/acs.jctc.8b01145/ct8b01145_si_001/01_-1_2.tar.zst,1
He,10.1021/acs.jctc.8b01145/ct8b01145_si_001/02_0_1.tar.zst,1
Xe,10.1021/acs.joc.2c00680/jo2c00680_si_002/12_TS_H2O---CH3---Cl_1_-1_2.tar.zst,1
Xe,10.1021/acs.joc.2c00680/jo2c00680_si_002/15_TS_H2O---CH3---Cl_2_-1_2.tar.zst,1
Xe,10.1021/acs.joc.2c00680/jo2c00680_si_002/16_TS_H2O---CH3---Cl_3_-1_2.tar.zst,1
Xe,10.1021/acs.joc.2c00680/jo2c00680_si_002/17_TS_H2O---CH3---Cl_4_-1_2.tar.zst,1
Xe,10.1021/acs.joc.2c00680/jo2c00680_si_002/18_TS_H2O---CH3---Cl_5_-1_2.tar.zst,1
Xe,10.1021/acs.joc.2c00680/jo2c00680_si_002/19_TS_H2O---CH3---Cl_6_-1_2.tar.zst,1
Xe,10.1021/acs.joc.2c00680/jo2c00680_si_002/20_TS_H2O---CH3---Cl_7_-1_1.tar.zst,1
Xe,10.1021/acs.joc.2c00680/jo2c00680_si_002/31_TS_H2O---CH3---Cl_8_-1_1.tar.zst,1
Xe,10.1021/acs.joc.2c00680/jo2c00680_si_002/41_TS_H2O---NH3---Me2CO_1_-1_2.tar.zst,1
Xe,10.1021/acs.joc.2c00680/jo2c00680_si_002/44_TS_H2O---NH3---Me2CO_2_-1_2.tar.zst,1
Xe,10.1021/acs.joc.2c00680/jo2c00680_si_002/45_TS_H2O---NH3---Me2CO_3_0_1.tar.zst,1
Xe,10.1021/acs.joc.2c00680/jo2c00680_si_002/46_TS_H2O---NH3---Me2CO_4_-1_2.tar.zst,1
Xe,10.1021/acs.joc.2c00680/jo2c00680_si_002/47_TS_H2O---NH3---Me2CO_5_0_1.tar.zst,1
Xe,10.1021/acs.joc.2c00680/jo2c00680_si_002/48_TS_H2O---NH3---Me2CO_6_-1_2.tar.zst,1
Xe,10.1021/acs.joc.2c00680/jo2c00680_si_002/50_TS_H2O---NH3---Me2CO_8_-1_1.tar.zst,1
Ne,10.1021/acs.joc.8b01322/jo8b01322_si_001/02_0_1.tar.zst,1
Ar,10.1021/acs.jpca.0c03358/jp0c03358_si_001/03_-1_2.tar.zst,1
Ar,10.1021/acs.jpca.0c03358/jp0c03358_si_001/07_-1_2.tar.zst,1
Ar,10.1021/acs.jpca.0c03358/jp0c03358_si_001/10_-1_2.tar.zst,1
Ar,10.1021/acs.jpca.0c03358/jp0c03358_si_001/11_-1_2.tar.zst,1
Ar,10.1021/acs.jpca.0c03358/jp0c03358_si_001/15_-1_2.tar.zst,1
Ar,10.1021/acs.jpca.0c03358/jp0c03358_si_001/16_-1_2.tar.zst,1
Ar,10.1021/acs.jpca.0c03358/jp0c03358_si_001/17_-1_2.tar.zst,1
Ar,10.1021/acs.jpca.0c03358/jp0c03358_si_001/18_-1_2.tar.zst,1
Ar,10.1021/acs.jpca.0c08081/jp0c08081_si_001/05_-1_1.tar.zst,1
Ar,10.1021/acs.jpca.0c08081/jp0c08081_si_001/06_-1_1.tar.zst,1
Ar,10.1021/acs.jpca.0c08081/jp0c08081_si_001/08_-1_1.tar.zst,2
Ar,10.1021/acs.jpca.0c08081/jp0c08081_si_001/09_-1_1.tar.zst,2
Ar,10.1021/acs.jpca.0c07027/jp0c07027_si_001/04_0_1.tar.zst,1
Ar,10.1021/acs.jpca.0c07027/jp0c07027_si_001/07_1_2.tar.zst,1
Ar,10.1021/acs.jpca.0c07027/jp0c07027_si_001/09_0_1.tar.zst,1
Ar,10.1021/acs.jpca.0c07027/jp0c07027_si_001/11_0_1.tar.zst,1
Ar,10.1021/acs.jpca.0c08081/jp0c08081_si_001/12_-1_1.tar.zst,1
Ar,10.1021/acs.jpca.0c08081/jp0c08081_si_001/13_-1_1.tar.zst,1
Ar,10.1021/acs.jpca.0c08081/jp0c08081_si_001/18_-1_1.tar.zst,1
Ar,10.1021/acs.jpca.0c08081/jp0c08081_si_001/23_-1_1.tar.zst,1
Ar,10.1021/acs.jpca.0c08081/jp0c08081_si_001/25_-1_1.tar.zst,1
Ar,10.1021/acs.jpca.1c02217/jp1c02217_si_001/25_-1_1.tar.zst,1
He,10.1021/acs.jpca.1c05257/jp1c05257_si_001/24_-1_2.tar.zst,1
He,10.1021/acs.jpca.1c05257/jp1c05257_si_001/27_-1_1.tar.zst,1
Ar,10.1021/acs.jpca.3c00301/jp3c00301_si_001/29_0_2.tar.zst,1
Ar,10.1021/acs.jpca.3c00301/jp3c00301_si_001/30_0_2.tar.zst,2
He,10.1021/acs.jpca.4c03400/jp4c03400_si_001/06_-1_2.tar.zst,1
He,10.1021/acs.jpca.4c03400/jp4c03400_si_001/07_-1_2.tar.zst,1
He,10.1021/acs.jpca.4c03400/jp4c03400_si_001/09_0_2.tar.zst,1
He,10.1021/acs.jpca.4c03400/jp4c03400_si_001/10_0_2.tar.zst,1
He,10.1021/acs.jpca.4c03400/jp4c03400_si_001/12_-1_1.tar.zst,1
He,10.1021/acs.jpca.4c03400/jp4c03400_si_001/13_-1_1.tar.zst,1
He,10.1021/acs.jpca.4c03400/jp4c03400_si_001/15_-1_2.tar.zst,1
He,10.1021/acs.jpca.4c03400/jp4c03400_si_001/18_0_1.tar.zst,1
He,10.1021/acs.jpca.4c03400/jp4c03400_si_001/21_-1_1.tar.zst,1
He,10.1021/acs.jpca.4c03400/jp4c03400_si_001/22_-1_1.tar.zst,1
He,10.1021/acs.jpca.4c03400/jp4c03400_si_001/23_1_1.tar.zst,1
Ne,10.1021/acs.jpca.4c03400/jp4c03400_si_001/23_1_1.tar.zst,1
He,10.1021/acs.jpca.4c03400/jp4c03400_si_001/25_-1_1.tar.zst,1
Ne,10.1021/acs.jpca.4c03400/jp4c03400_si_001/25_-1_1.tar.zst,1
He,10.1021/acs.jpca.4c03400/jp4c03400_si_001/27_0_2.tar.zst,1
Ne,10.1021/acs.jpca.4c03400/jp4c03400_si_001/27_0_2.tar.zst,1
He,10.1021/acs.jpca.4c03400/jp4c03400_si_001/31_0_1.tar.zst,1
Ne,10.1021/acs.jpca.4c03400/jp4c03400_si_001/31_0_1.tar.zst,1
He,10.1021/acs.jpca.6b02757/jp6b02757_si_001/18_0_1.tar.zst,1
Ar,10.1021/acs.jpca.6b08822/jp6b08822_si_001/07_-1_2.tar.zst,1
He,10.1021/acs.jpca.6b09797/jp6b09797_si_001/02_0_1.tar.zst,1
Ar,10.1021/acs.jpca.7b07180/jp7b07180_si_001/19_-1_1.tar.zst,1
Ar,10.1021/acs.jpca.7b07180/jp7b07180_si_001/20_-1_1.tar.zst,1
Ar,10.1021/acs.jpca.7b07180/jp7b07180_si_001/22_-1_1.tar.zst,1
Ar,10.1021/acs.jpca.7b07180/jp7b07180_si_001/28_0_2.tar.zst,1
Ar,10.1021/acs.jpca.7b07180/jp7b07180_si_001/29_0_2.tar.zst,1
Ar,10.1021/acs.jpca.7b07180/jp7b07180_si_001/30_-1_1.tar.zst,1
Ar,10.1021/acs.jpca.7b07180/jp7b07180_si_001/31_-1_1.tar.zst,1
Ar,10.1021/acs.jpca.7b07180/jp7b07180_si_001/32_-1_1.tar.zst,1
Ar,10.1021/acs.jpca.7b07180/jp7b07180_si_001/38_0_2.tar.zst,1
Ar,10.1021/acs.jpca.7b07180/jp7b07180_si_001/39_-1_1.tar.zst,1
Ar,10.1021/acs.jpca.7b07180/jp7b07180_si_001/07_-1_1.tar.zst,1
Ar,10.1021/acs.jpca.7b07180/jp7b07180_si_001/08_-1_1.tar.zst,1
Ar,10.1021/acs.jpca.7b07180/jp7b07180_si_001/09_-1_1.tar.zst,1
Ar,10.1021/acs.jpca.7b07180/jp7b07180_si_001/10_-1_1.tar.zst,1
Ar,10.1021/acs.jpca.7b07180/jp7b07180_si_001/11_-1_1.tar.zst,1
Ar,10.1021/acs.jpca.9b04962/jp9b04962_si_001/52_-1_1.tar.zst,1
Ar,10.1021/acs.jpca.9b04962/jp9b04962_si_001/57_-1_1.tar.zst,1
Ar,10.1021/acs.jpca.9b04962/jp9b04962_si_001/59_-1_1.tar.zst,1
Ar,10.1021/acs.jpca.9b04962/jp9b04962_si_001/60_-1_1.tar.zst,1
Ar,10.1021/acs.jpca.9b04962/jp9b04962_si_001/63_-1_1.tar.zst,1
Ar,10.1021/acs.jpca.9b04962/jp9b04962_si_001/65_-1_1.tar.zst,1
Ar,10.1021/acs.jpca.9b04962/jp9b04962_si_001/66_-1_1.tar.zst,1
Ar,10.1021/acs.jpca.9b04962/jp9b04962_si_001/67_-1_1.tar.zst,1
Ar,10.1021/acs.jpca.9b04962/jp9b04962_si_001/68_-1_1.tar.zst,1
Ar,10.1021/acs.jpca.9b04962/jp9b04962_si_001/69_-1_1.tar.zst,1
Ar,10.1021/acs.jpca.9b04962/jp9b04962_si_001/70_-1_1.tar.zst,1
Ar,10.1021/acs.jpca.9b04962/jp9b04962_si_001/71_-1_1.tar.zst,1
Ar,10.1021/acs.jpca.9b04962/jp9b04962_si_001/72_-1_1.tar.zst,1
Ar,10.1021/acs.jpca.9b04962/jp9b04962_si_001/41_-1_1.tar.zst,1
Ar,10.1021/acs.jpca.9b04962/jp9b04962_si_001/44_0_2.tar.zst,1
Ar,10.1021/acs.jpca.9b04962/jp9b04962_si_001/45_-1_1.tar.zst,1
Ar,10.1021/acs.jpca.9b04962/jp9b04962_si_001/46_-1_1.tar.zst,1
Ar,10.1021/acs.jpca.9b04962/jp9b04962_si_001/51_-1_1.tar.zst,1
Ar,10.1021/acs.jpca.9b11779/jp9b11779_si_001/20_-1_1.tar.zst,1
Ar,10.1021/acs.jpca.9b11779/jp9b11779_si_001/21_-1_1.tar.zst,1
Ar,10.1021/acs.jpca.9b11779/jp9b11779_si_001/23_-1_1.tar.zst,1
Ar,10.1021/acs.jpca.9b11779/jp9b11779_si_001/24_-1_1.tar.zst,1
Ar,10.1021/acs.jpca.9b11779/jp9b11779_si_001/25_-1_1.tar.zst,1
He,10.1021/acs.jpcc.8b04070/jp8b04070_si_001/107_0_1.tar.zst,1
He,10.1021/acs.jpcc.8b04070/jp8b04070_si_001/163_0_1.tar.zst,1
He,10.1021/acs.jpcc.8b04070/jp8b04070_si_001/226_0_1.tar.zst,1
He,10.1021/acs.jpcc.8b04070/jp8b04070_si_001/44_-1_2.tar.zst,1
He,10.1021/acs.jpclett.0c03174/jz0c03174_si_001/08_0_2.tar.zst,1
He,10.1021/acs.jpclett.2c03461/jz2c03461_si_001/209_0_2.tar.zst,1
He,10.1021/acs.jpclett.2c03461/jz2c03461_si_001/211_-1_1.tar.zst,1
He,10.1021/acs.organomet.6b00003/om6b00003_si_001/04_0_1.tar.zst,1
He,10.1021/acs.organomet.7b00332/om7b00332_si_001/01_0_1.tar.zst,1
He,10.1021/acs.organomet.8b00177/om8b00177_si_001/02_0_1.tar.zst,1
He,10.1021/acscatal.9b01195/cs9b01195_si_001/01_0_1.tar.zst,1
He,10.1021/acsomega.1c05844/ao1c05844_si_001/01_0_2.tar.zst,1
He,10.1021/acsomega.1c05844/ao1c05844_si_001/03_0_2.tar.zst,1
He,10.1021/acsomega.2c08103/Master_thesis/01_0_1.tar.zst,1
He,10.1021/acsomega.7b01570/ao7b01570_si_001/03_-1_2.tar.zst,1
He,10.1021/ja047794s/ja047794ssi20040603_091506/09_0_2.tar.zst,1
He,10.1021/ja410292s/ja410292s_si_001/01_0_1.tar.zst,1
He,10.1021/ja5021958/ja5021958_si_001/83_0_2.tar.zst,1
He,10.1021/ja5046814/ja5046814_si_001/29_-1_1.tar.zst,8
He,10.1021/jacs.3c05898/ja3c05898_si_001/04_-1_2.tar.zst,1
He,10.1021/jacs.3c06597/ja3c06597_si_001/01_0_2.tar.zst,1
He,10.1021/jacsau.3c00714/au3c00714_si_001/18_0_1.tar.zst,3
He,10.1021/jo051521d/jo051521dsi20050913_060111/06_-1_1.tar.zst,1
He,10.1021/jo9620223/jo3046/01_1_1.tar.zst,1
Ne,10.1021/jo9620223/jo3046/01_1_1.tar.zst,1
He,10.1021/jo962373h/jo4072/17_-1_2.tar.zst,1
He,10.1021/jp0450181/jp0450181si20041101_035008/03_0_2.tar.zst,1
Ne,10.1021/jp0450181/jp0450181si20041101_035008/03_0_2.tar.zst,1
He,10.1021/jp0450181/jp0450181si20041101_035008/09_-1_1.tar.zst,1
Ne,10.1021/jp203276g/jp203276g_si_001/20_0_2.tar.zst,1
Ne,10.1021/jp203276g/jp203276g_si_001/21_-1_1.tar.zst,1
Ar,10.1021/jp304091h/jp304091h_si_001/05_-1_1.tar.zst,1
Ar,10.1021/jp500152c/jp500152c_si_001/03_-1_1.tar.zst,2
Ar,10.1021/jp500152c/jp500152c_si_001/04_-1_1.tar.zst,2
Ar,10.1021/jp500152c/jp500152c_si_001/07_-1_2.tar.zst,1
Ar,10.1021/jp500152c/jp500152c_si_001/08_-1_2.tar.zst,1
Ar,10.1021/jp500152c/jp500152c_si_001/12_-1_1.tar.zst,1
Ar,10.1021/jp500152c/jp500152c_si_001/13_0_2.tar.zst,1
Ar,10.1021/jp500152c/jp500152c_si_001/14_-1_1.tar.zst,1
Ar,10.1021/jp500152c/jp500152c_si_001/17_-1_2.tar.zst,1
Ar,10.1021/jp500152c/jp500152c_si_001/18_-1_2.tar.zst,1
He,10.1021/nn504298r/nn504298r_si_001/01_-1_1.tar.zst,1
He,10.1038/ncomms14457/41467_2017_BFncomms14457_MOESM1862_ESM/01_-1_2.tar.zst,1
He,10.1038/nchem.287/41557_2009_BFnchem287_MOESM133_ESM/03_-1_1.tar.zst,1
He,10.1038/nchem.287/41557_2009_BFnchem287_MOESM133_ESM/05_0_2.tar.zst,1
He,10.1038/nchem.287/41557_2009_BFnchem287_MOESM133_ESM/07_-1_1.tar.zst,1
He,10.1038/nchem.287/41557_2009_BFnchem287_MOESM133_ESM/09_0_1.tar.zst,1
He,10.1038/nchem.287/41557_2009_BFnchem287_MOESM133_ESM/11_-1_1.tar.zst,1
He,10.1038/nchem.287/41557_2009_BFnchem287_MOESM133_ESM/13_0_1.tar.zst,1
He,10.1038/nchem.287/41557_2009_BFnchem287_MOESM133_ESM/15_0_1.tar.zst,1
He,10.1038/nchem.287/41557_2009_BFnchem287_MOESM133_ESM/27_0_1.tar.zst,1
He,10.1038/nchem.287/41557_2009_BFnchem287_MOESM133_ESM/29_0_1.tar.zst,1
He,10.1038/nchem.287/41557_2009_BFnchem287_MOESM133_ESM/31_-1_2.tar.zst,1
Ar,10.1038/s41524-019-0240-x/41524_2019_240_MOESM1_ESM/10_-1_1.tar.zst,1
He,10.1038/s41524-019-0240-x/41524_2019_240_MOESM1_ESM/10_-1_1.tar.zst,1
Ne,10.1038/s41524-019-0240-x/41524_2019_240_MOESM1_ESM/10_-1_1.tar.zst,1
He,10.1039/B810418B/b810418b/03_0_2.tar.zst,1
Ne,10.1039/B810418B/b810418b/03_0_2.tar.zst,1
He,10.1039/C2CE06468E/c2ce06468e/09_0_1.tar.zst,3
He,10.1039/C5CY02204E/c5cy02204e1/01_-1_1.tar.zst,1
He,10.1039/C5CY02204E/c5cy02204e1_2/01_-1_1.tar.zst,1
He,10.1039/C5DT03835A/c5dt03835a1/02_0_1.tar.zst,1
He,10.1039/C6CP08449D/c6cp08449d1/01_-1_1.tar.zst,1
He,10.1039/C6RA12228K/c6ra12228k1/02_-1_2.tar.zst,1
He,10.1039/C6RA12228K/c6ra12228k1/03_-1_2.tar.zst,1
He,10.1039/C6RA12228K/c6ra12228k1/05_-1_2.tar.zst,1
He,10.1039/C6RA12228K/c6ra12228k1/06_-1_2.tar.zst,1
He,10.1039/C6RA12228K/c6ra12228k1/07_-1_2.tar.zst,1
He,10.1039/C6RA12228K/c6ra12228k1/09_-1_2.tar.zst,2
He,10.1039/C6RA12228K/c6ra12228k1/11_0_1.tar.zst,2
He,10.1039/C6RA12228K/c6ra12228k1/12_-1_2.tar.zst,2
He,10.1039/C6RA12228K/c6ra12228k1/13_-1_2.tar.zst,2
He,10.1039/C8CP05637D/c8cp05637d1/02_0_2.tar.zst,1
Xe,10.1039/C9FD00067D/c9fd00067d1/12_-1_2.tar.zst,1
He,10.1039/C9QO00171A/c9qo00171a1/11_0_1.tar.zst,1
He,10.1039/D0CE00490A/d0ce00490a1/01_0_2.tar.zst,1
He,10.1039/D0TA04615A/d0ta04615a1/111_0_2.tar.zst,1
He,10.1039/D0TA04615A/d0ta04615a1/120_0_1.tar.zst,1
He,10.1039/D0TA04615A/d0ta04615a1/23_-1_2.tar.zst,1
He,10.1039/D0TA04615A/d0ta04615a1/65_0_2.tar.zst,1
He,10.1039/D0TA04615A/d0ta04615a1/67_0_2.tar.zst,1
He,10.1039/D0TA04615A/d0ta04615a1/69_0_2.tar.zst,1
He,10.1039/D0TA04615A/d0ta04615a1/83_0_2.tar.zst,1
Ar,10.1039/D2CP01947G/d2cp01947g1/09_-1_1.tar.zst,1
Ar,10.1039/D2CP01947G/d2cp01947g1/10_-1_1.tar.zst,1
Ar,10.1039/D2CP01947G/d2cp01947g1/11_-1_1.tar.zst,1
Ar,10.1039/D2CP01947G/d2cp01947g1/12_-1_1.tar.zst,1
Xe,10.1039/D2DT00941B/d2dt00941b1/43_0_1.tar.zst,1
He,10.1039/D3RA06708D/d3ra06708d1/06_-1_2.tar.zst,1
He,10.1039/D3RA06708D/d3ra06708d1/09_-1_2.tar.zst,1
He,10.1039/D3RA06708D/d3ra06708d1/12_0_1.tar.zst,1
He,10.1039/D3SC05725A/d3sc05725a1/21_-1_2.tar.zst,1
He,10.1126/sciadv.adf8412/sciadv.adf8412_sm/02_-1_1.tar.zst,1
He,10.1126/science.abd4441/abd4441-yan-sm/01_1_2.tar.zst,1
Ne,10.1126/science.abd4441/abd4441-yan-sm/01_1_2.tar.zst,1
