doi,functionals,basis_sets,softwares,elements
10.1002/adfm.201908292,"PBE, Grimme’s D3(BJ)",all-electron projected augmented wave (PAW) potentials,VASP,
10.1002/adfm.201908367,PBE,ultrasoft pseudopotential,CASTEP,
10.1002/adfm.201908568,,,Gaussian,
10.1002/adfm.201908797,"PBE, HSE",6-31G(d),Gaussian 09,
10.1002/adfm.201908839,B3LYP | PBE0,def2-SVP,Gaussian 16 | MOMAP | Newton-X,
10.1002/adfm.201909028,LDA | PBE,,,
10.1002/adfm.201909269,PBE,double numerical plus polarization,DMol3,
10.1002/adfm.201909375,CAM-B3LYP,cc-pVDZ,,
10.1002/adfm.201909529,,,Malvern software,
10.1002/adfm.201909572,GGA-PBE96; HSE06,cut-off energy 400 eV; 300 eV cut-off for HSE06,MedeA-VASP,
10.1002/adfm.201909597,B3LYP,6-31+G(d),Gaussian 09,
10.1002/adfm.201909618,PBE,PAW,VASP,
10.1002/adfm.201910059,PBE,PAW,VASP,
10.1002/adfm.201910107,PBE,projector augmented wave methods,VASP,
10.1002/adfm.201910118,,,ZView,
10.1002/adfm.201910275,B3LYP | td-B3LYP,"6-31 g (d, p)",Gaussian 09,
10.1002/adfm.201910482,revPBE,PAW,VASP,
10.1002/adfm.201910539,PBE,,VASP,
10.1002/adfm.201910749,optB86b-vdW,,VASP,
10.1002/adfm.201910830,PBE,,,
10.1002/adfm.202000105,B3LYP,6-31G(d),Gaussian 09,
10.1002/adfm.202000325,B3LYP,"6-311+G(d,p)",Gaussian 16,
10.1002/adfm.202000449,,,"Spectrum (v 5.0.1), SETSOFT, Nanosurf C3000, NanoScope software version 9.40, WSxM software (version 5.0 Develop 9.1)",
10.1002/adfm.202000457,PBE-D3,DZVP-MOLOPT-GTH,CP2K,
10.1002/adfm.202000489,B3LYP,"6-31+g(d,p)",Gaussian 16,
10.1002/adfm.202000551,PBE,PAW,VASP,
10.1002/adfm.202000556,PBE,plane-wave basis sets,VASP,
10.1002/adfm.202000593,PW91,DNP,Materials Studio,
10.1002/adfm.202000878,mBJ | optB88,plane-wave basis,VASP,
10.1002/adfm.202000915,GGA,projector augmented wave (PAW) pseudopotentials,VASP,
10.1002/adfm.202001201,PBE,double-numerical basis with polarization functions (DNP),Materials Studio,
10.1002/adfm.202001244,PBE,norm-conserving pseudopotentials,CASTEP,
10.1002/adfm.202001607,,,VASP,
10.1002/adfm.202002064,BLYP-D3(BJ) | LC-BLYP*,TZ2P,ADF,
10.1002/adfm.202002114,GGA-PW91 | M06-2X,"6-31G(d,p) | TZP",BAND | Gaussian 09 | Multiwfn,
10.1002/adfm.202002342,HSE | PBE,,,Ag Bi Br C Cs Cu O S
10.1002/adfm.202002471,PBE,plane-wave,VASP,
10.1002/adfm.202002533,"PBE, DFT-D3",plane-wave,VASP,
10.1002/adfm.202002643,PBE,,Materials Studio,
10.1002/adfm.202002654,PBE-D3 | PBE0,def2-SVP | def2-TZVP,Materials Studio,
10.1002/adfm.202002918,PBE,,MedeA-VASP,
10.1002/adfm.202002927,B3LYP | PBE,"6-31+G(d) | 6-311++G(d,p) | 6-31G(d)",NWChem,
10.1002/adfm.202003000,PBE,,Quantum ESPRESSO,
10.1002/adfm.202003039,PBE,projector augmented wave method,VASP,
10.1002/adfm.202003106,B3LYP+D3 | HSE06 | PBE0 | ωB97X-D,def2-SVP | def2-TZVP,ARTEMIS | ATHENA | Turbomole | VASP | sumo,
10.1002/adfm.202003556,PBE,,CASTEP,
10.1002/adfm.202003605,B3LYP-D3(BJ),"6-311++g(d,p)",Gaussian 09,
10.1002/adfm.202003792,PBE | PBE0,,,
10.1002/adfm.202004108,PBE,PAW,VASP,
10.1002/adfm.202004172,PBE,plane-wave,VASP,
10.1002/adfm.202004208,PBEsol,,Cambridge Serial Total Energy Package,
10.1002/adfm.202004330,PBE,,VASP,
10.1002/adfm.202004664,B3LYP | PBE,"6-311++G(d,p)",Gaussian 09 | VASP,
10.1002/adfm.202004885,PBE,plane-wave pseudopotential,VASP,
10.1002/adfm.202005080,PBE,projector augmented-wave method,VASP,
10.1002/adfm.202005417,PBE,plane wave basis with a cutoff energy of 520 eV,VASP,
10.1002/adfm.202006033,PBE,PAW,VASP,
10.1002/adfm.202006270,PBE,,VASP,
10.1002/adfm.202006771,PBE,PAW pseudo potentials,VASP,
10.1002/adfm.202006798,PBE,PAW pseudopotential,VASP,
10.1002/adfm.202007129,PBE,PAW,VASP,
10.1002/adfm.202007266,,,DMol3,
10.1002/adfm.202007294,HSE06 | PBE-D3(BJ),DZP | TZP,ADF,
10.1002/adfm.202007447,PBE,,VASP,
10.1002/adfm.202007511,B3LYP,"6-31G(d,p)",Gaussian 09,
10.1002/adfm.202007706,PBE,norm-conserving pseudopotentials for Se | ultrasoft pseudopotentials for La | ultrasoft pseudopotentials for Nb,,Se
10.1002/adfm.202007762,B3LYP,6-31G(d),,
10.1002/adfm.202007921,,,,H
10.1002/adfm.202008034,PBE,,VASP,
10.1002/adfm.202008056,PBE,GBRV ultrasoft pseudopotentials,JDFTx,
10.1002/adfm.202008146,PBE,plane-wave pseudopotential,CASTEP,
10.1002/adfm.202008356,B3LYP,6-31G(d),,
10.1002/adfm.202008420,PBE,frozen-core all-electron projector augmented wave (PAW),VASP,
10.1002/adfm.202008511,PBE,PAW,VASP,
10.1002/adfm.202008533,,,,V
10.1002/adfm.202008578,PBE,plane-wave,VASP,
10.1002/adfm.202008812,PBE,,VASP,
10.1002/adfm.202009109,,,,N O P S
10.1002/adfm.202009307,,,Spana,
10.1002/adfm.202009310,PBE,projector augmented wave method,VASP,
10.1002/adfm.202009359,B3LYP,"6-31G(d) | 6-31G(d,p)",,
10.1002/adfm.202009412,PBE,PAW,VASP,
10.1002/adfm.202009457,PBE,ultrasoft pseudopotential,SHELXTL,
10.1002/adfm.202009467,"GGA, GGA-D3",plane-wave,VASP,
10.1002/adfm.202009712,PBE,PAW,VASP,Fm Sn
10.1002/adfm.202009743,PBE,,,
10.1002/adfm.202009770,PBE,all-electron plane-wave basis sets,VASP,
10.1002/adfm.202009854,B3LYP | M06-2X | revPBE,"6-311G(d,p) | 6-31G(d) | DZP",ADF | Gaussian 09 | Multiwfn,
10.1002/adfm.202009917,PBE-D3,,,
10.1002/adfm.202010046,GGA exchange-correlation functional,projected augmented wave potentials,VASP,
10.1002/adfm.202010049,B3LYP,"6-311G(d,p)",Gaussian 09,
10.1002/adfm.202010112,PBE,plane-wave,CASTEP,
10.1002/adfm.202010293,Barth Hedin exchange potential | PBE | modified Becke-Johnson,"3s, 3p (P) | 3s, 3p (Si) | 5s, 5p, 4d (Ru) | 6s, 6p, 5d (Ir)",Bruker Avance | Bruker MAS II | DGrid | FEI Quanta 250 | Netzsch DSC 404 F3 Pegasus | ParaView | TB-LMTO-ASA | VASP,
10.1002/adfm.202010385,,projector augmented wave,VASP,
10.1002/adfm.202010437,PBE,PAW,VASP,
10.1002/adfm.202010472,revised Perdew-Burke,projector augmented wave (PAW) method,VASP,
10.1002/adfm.202010544,PBE,projector-augmented-wave (PAW) method,VASP,
10.1002/adfm.202010569,,,DFT,
10.1002/adfm.202010696,PBE,plane-wave basis,VASP,
10.1002/adfm.202010718,PBE,PAW potentials,VASP,
10.1002/adfm.202010737,B3LYP | CAM-B3LYP,6-31G(d),BAGEL 1.2.2 | Gaussian 16,C H N
10.1002/adfm.202010780,PBE,plane-wave,VASP,
10.1002/adfm.202010832,"GGA (Perdew, Burke, and Ernzerhof)",plane-wave,VASP,
10.1002/adfm.202010916,B3LYP,6-31G(d) | LANL2DZ,Gaussian 16,
10.1002/adfm.202010944,PBE,plane-wave,VASP,
10.1002/adfm.202011093,PBE,ONCV type fully relativistic SG15-SO pseudopotentials,VASP,
10.1002/adfm.202011168,B3LYP,6-31G(d),,
10.1002/adfm.202011229,,,VASP,
10.1002/adfm.202100108,"PBE, PBEsol",,VASP,
10.1002/adfm.202100233,"PBE, DFT-D3",plane-wave,VASP,
10.1002/adfm.202100300,DFT-D3 | PBE,,VASP,
10.1002/adfm.202100387,PBE,GGA pseudopotentials (PBE scheme),Quantum ESPRESSO,H
10.1002/adfm.202100442,PBE,,MedeA-VASP,
10.1002/adfm.202100547,PBE,,VASP,
10.1002/adfm.202100614,PBE,plane-wave,VASP,
10.1002/adfm.202100618,PBE,PAW,VASP,
10.1002/adfm.202100704,,,Gaussian 09,B Be H He Li
10.1002/adfm.202100781,,,Quantum ESPRESSO,
10.1002/adfm.202100783,,,VASP,Co Mn Ni
10.1002/adfm.202100833,PBE,,VASP,
10.1002/adfm.202100855,PBE,plane-wave,CASTEP,
10.1002/adfm.202100883,BEEF-vdw,,VASP,
10.1002/adfm.202100923,RPBE,PAW pseudo-potential,VASP,
10.1002/adfm.202100994,PBE,plane-wave,VASP,
10.1002/adfm.202101019,,,Material Studio 8.0,
10.1002/adfm.202101086,Perdew-Wang (PW),norm-conserving PseudoDojo,QuantumATK version R-2020.09,
10.1002/adfm.202101193,PBE,,VASP,
10.1002/adfm.202101194,PBE,,VASP,
10.1002/adfm.202101239,PBE,plane wave basis,VASP,
10.1002/adfm.202101324,PBE,PAW,VASP,
10.1002/adfm.202101470,B3LYP,6-31G(d),Gaussian 16,
10.1002/adfm.202101593,B3LYP | PBE0,DZVP,NWChem,
10.1002/adfm.202101715,PBE,"ultrasoft pseudopotential, plane-wave basis",CASTEP,
10.1002/adfm.202101727,PBE,PAW,VASP,
10.1002/adfm.202101797,PBE,,VASP,
10.1002/adfm.202101868,PBE,plane-wave,not specified,
10.1002/adfm.202102002,PBE,plane-wave,VASP,
10.1002/adfm.202102066,PBE,plane-wave,VASP,
10.1002/adfm.202102117,PBE,,VASP,
10.1002/adfm.202102126,PBE,plane wave basis set with a kinetic energy cutoff of 400eV,,
10.1002/adfm.202102158,,,,H
10.1002/adfm.202102228,PBE,PAW,VASP,
10.1002/adfm.202102280,PBE,plane-wave,VASP,
10.1002/adfm.202102321,PBE,double numerical atomic orbital augmented by a polarization function,DMol3,
10.1002/adfm.202102576,PBE,projector augmented wave (PAW),VASP,
10.1002/adfm.202102635,,,,Au Pt
10.1002/adfm.202102648,RPBE,projector augmented wave approach,VASP,
10.1002/adfm.202102734,B3LYP | M06-2X,def2-SVP | def2-TZVP,Gaussian 09,
10.1002/adfm.202102896,RPBE,plane wave basis sets with a kinetic cutoff energy of 500 eV,VASP,C Cu H O Zn
10.1002/adfm.202102902,PBE,ultrasoft pseudopotentials,Quantum ESPRESSO,
10.1002/adfm.202102917,,,VASP,B Be C H He Li N
10.1002/adfm.202102939,"PBE, PBE+U",,VASP,
10.1002/adfm.202103171,HSE06 | PBEsol,projector augmented wave,VASP,
10.1002/adfm.202103187,DFT-D2,SG15 pseudopotential,PWmat,
10.1002/adfm.202103465,PBE,double numerical plus d-functions,Materials Studio,
10.1002/adfm.202103514,PBE,PAW,VASP,
10.1002/adfm.202103561,B3LYP,,Gaussian 16,
10.1002/adfm.202103581,PBE,plane-wave,,
10.1002/adfm.202103597,PBE,plane-wave,CASTEP,
10.1002/adfm.202103601,,,,Hg
10.1002/adfm.202103673,PBE,plane-wave,VASP,
10.1002/adfm.202103732,,,,H
10.1002/adfm.202103847,PBE,projector augmented wave (PAW) pseudopotential,VASP,
10.1002/adfm.202103893,PBE,PAW potentials,VASP,
10.1002/adfm.202104026,B3LYP | CAM-B3LYP,"6-31G(d,p)",Gaussian 16,
10.1002/adfm.202104188,PBEsol,,VASP,
10.1002/adfm.202104286,PBE,PAW,VASP,
10.1002/adfm.202104513,,,"CHI 660 series electrochemical workstation, LAND CT 2001A test system",
10.1002/adfm.202104633,PBE,def2-SVP,VASP,
10.1002/adfm.202104638,B3LYP[GD3BJ],"6-311G(d,p)",,
10.1002/adfm.202104735,PBE,PAW,VASP,
10.1002/adfm.202104798,PBE,,VASP,
10.1002/adfm.202104951,,,CASTEP,
10.1002/adfm.202104960,PBE,,,
10.1002/adfm.202104976,PBE,PAW,VASP,
10.1002/adfm.202105252,PBE,,,
10.1002/adfm.202105297,Grimme D3,"6-31+G(d,p)",Gaussian 09,
10.1002/adfm.202105372,,,,Fe Ni S
10.1002/adfm.202105458,B3LYP,"6-31g(d,p)",Gaussian 09,
10.1002/adfm.202105463,H20 (20% Fock exchange) | H35 (35% Fock exchange),(11s7p3d)/[7s6p3d] for P | (14s6p1d)/[1s3sp1d] for O | (15s7p)/[1s3sp] for Na | (16s8p1d)/[1s3sp1d] for P | (20s12p4d)/[1s4sp2d] for V | Ahlrichs DZP-derived (13s9p5d)/[7s5p3d] for V | flexible and extended TZDP-derived (11s7p)/[7s3p] set for Na | modified IGLO-III (10s6p2d)/[6s5p2d] for O,CRYSTAL,
